one,two
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H2_BH20_1_7585.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H3_BH4_1_7591.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H4_BH5_1_7592.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H5_BH6_1_7593.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_H6_BH7_1_7594.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_I4_BI5_1_7602.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_I5_BI6_1_7603.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_RV_I6_BJ19_1_7604.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvendo_F18_BF2_1_7824.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvepi_I24_RH16_1_7865.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvmid_H7_BH8_1_7859.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_Lvmid_I11_BI22_1_7862.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_A4_BA5_1_7713.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_B3_BB4_1_7724.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_C2_BC20_1_7751.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_D2_BD20_1_7769.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_F4_BF5_1_7830.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_H1_BH12_1_7843.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_H2_BH20_1_7850.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_1_RV_H3_BH4_1_7857.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A13_BA14_1_7703.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A14_BA15_1_7704.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A15_BA16_1_7705.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A16_BA17_1_7706.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A17_BA18_1_7707.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_A18_BA19_1_7708.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_B13_BB16_1_7717.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_B16_BB17_1_7718.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_B17_BB19_1_7719.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C13_BC14_1_7747.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C14_BC16_1_7748.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C16_BC18_1_7749.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_C18_BC2_1_7750.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D15_BD16_1_7764.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D16_BD17_1_7765.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D17_BD18_1_7766.d,3
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D18_BD19_1_7767.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E13_BE14_1_7782.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E14_BE15_1_7783.d,1
